MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
0.846920956974175,0.5462535778771564,0.2799787486145703,0.031948881789137386,0.6666666666666667,0.8019323671497585,0.8074866310160429,0.8824476650563607,0.2154696132596685,0.16604678072567983,0.8532818532818534,0.16304347826086957,0.014683153013910348,0.6381748071979435,0.771693884085815,0.8783707590294637,0.6558935361216731,0.31272437175907464,0.2104835432750915,0.7749029754204398,0.42354177614293215,0.2803414859252423
0.12438006343398826,0.3866384907983336,0.05555601413457266,0.9265175718849841,0.6666666666666667,0.32850241545893716,0.358288770053476,0.09661835748792272,0.9760589318600368,0.14009422266302998,0.3108108108108108,0.28804347826086957,0.5417310664605873,0.5302056555269924,0.32500800512327893,0.2509564171982685,0.5741444866920153,0.32907857997606704,0.5604268696935348,0.006727037516170776,0.2882291119285339,0.5701430549146286
0.014610457104844269,0.6734165578970065,0.6314730616928018,0.06389776357827476,0.33333333333333337,0.2608695652173913,0.8663101604278075,0.42673107890499196,0.9373848987108656,0.426316224481362,0.5057915057915058,0.9769021739130436,0.3075734157650696,0.307840616966581,0.287544028178034,0.20323108251049615,0.6311787072243346,0.35021938571998396,0.44429949314570444,0.7899094437257437,0.2065160273252759,0.3204891555145362
0.20107178494214917,0.3175356717850131,0.9258062506988118,0.12140575079872203,0.33333333333333337,0.6811594202898551,0.13903743315508021,0.9194847020933978,0.26151012891344383,0.5476485659971898,0.2876447876447876,0.8709239130434784,0.05255023183925811,0.41323907455012854,0.2177393531860391,0.4379388918141872,0.21696768060836502,0.9481451934583167,0.06580551337710398,0.47839586028460546,0.24792433000525477,0.9928472542685741
0.6172756646313939,0.4960830577743835,0.6528024889334461,0.9105431309904153,0.33333333333333337,0.4927536231884058,0.4010695187165776,0.6892109500805154,0.8112338858195212,0.6137697330357881,0.7277992277992278,0.29347826086956524,0.24034003091190112,0.38946015424164526,0.77681716298431,0.7717040302325691,0.10717680608365014,0.8962903869166333,0.5971898458050856,0.6959896507115134,0.579611140304782,0.9457775726811258
0.20676703452044382,0.36911532821004917,0.2295269690736812,0.6645367412140575,0.6666666666666667,0.6666666666666667,0.23529411764705888,0.8582930756843801,0.6758747697974217,0.2964707827093148,0.11776061776061775,0.5067934782608696,0.3809891808346214,0.6722365038560412,0.08709574127441565,0.7556930704603384,0.285884030418251,0.33665735939369773,0.19307512992151243,0.0007761966364812282,0.0007356805044666674,0.7925703737886479
0.0041932954788433925,0.011820779421712982,0.21700801204245182,0.7795527156549521,0.33333333333333337,0.1690821256038647,0.7967914438502676,0.14492753623188406,0.7697974217311233,0.13819323911067033,0.1833976833976834,0.297554347826087,0.7248840803709429,0.48521850899742935,0.9244316362471984,0.12976519433558717,0.9607889733840305,0.26326286398085336,0.7321585149383006,0.9135834411384216,0.9985811875985287,0.169820027688048
0.5427823050058207,0.9596596922408417,0.5540638397021204,0.6485623003194887,0.6666666666666667,0.3478260869565218,0.37433155080213915,0.09178743961352658,0.4521178637200737,0.4104471443920985,0.16795366795366795,0.7377717391304348,0.5301391035548686,0.3091259640102828,0.39193083573487036,0.0704463590909726,0.06653992395437269,0.7020343039489431,0.8850488675976819,0.07761966364812418,0.18045191802417246,0.45800646054453154
0.44403346321066256,0.26103895462618076,0.12028194104991746,0.5814696485623003,0.6666666666666667,0.6135265700483092,0.7754010695187167,0.7568438003220612,0.9042357274401472,0.3984626828663526,0.7702702702702703,0.3858695652173913,0.6128284389489954,0.07776349614395889,0.047710534742235036,0.4005908584688938,0.44819391634980993,0.8236936577582767,0.5815778780555615,0.1332470892626132,0.730635838150289,0.8846331333640978
0.892331496044285,0.11506773894623187,0.610320729330739,0.23003194888178913,0.6666666666666667,0.4202898550724638,0.33689839572192515,0.8760064412238325,0.5414364640883977,0.7166707992396065,0.555984555984556,0.028532608695652165,0.6870170015455952,0.4665809768637532,0.9349983989753443,0.8773689091019233,0.7012832699619773,0.7211806940566412,0.9249342372591371,0.12703751617076328,0.14566473988439302,0.01684356252884172
0.8833873333966882,0.8930910142818818,0.24810767368617737,0.584664536741214,0.33333333333333337,0.9130434782608696,0.33689839572192515,0.7053140096618358,0.28821362799263345,0.7999834697082403,0.5810810810810811,0.31929347826086957,0.7310664605873263,0.28534704370179953,0.3772014089016971,0.8955280215094851,0.8105988593155894,0.21659353809333867,0.9662310998952074,0.40336351875808535,0.37582764056752505,0.5936778957083525
0.15179536599273002,0.48075764583501357,0.3781973692405706,0.4376996805111821,0.33333333333333337,0.9710144927536232,0.5454545454545455,0.035426731078905,0.4594843462246777,0.5195470700057856,0.34749034749034746,0.3736413043478261,0.92967542503864,0.493573264781491,0.3890489913544669,0.982931273094971,0.31059885931558934,0.3749501396090944,0.42503047541649736,0.26054333764553683,0.0038885969521808062,0.6938163359483156
0.2544093452281961,0.32665174890091897,0.5370949986455243,0.14696485623003194,0.888293587299686,0.5555555555555557,0.41711229946524064,0.8679549114331723,0.3342541436464088,0.25655012810976113,0.6911196911196911,0.5054347826086956,0.9675425038639875,0.8508997429305912,0.23919308357348706,0.5625084458278775,0.21269011406844116,0.6633426406063023,0.961526123313159,0.5011642949547218,0.7665790856542302,0.15505306875865255
0.8899935556294696,0.5815132589255587,0.22362580752638234,0.2875399361022364,0.6666666666666667,0.6811594202898551,0.2780748663101605,0.30112721417069244,0.3250460405156538,0.29498305645094636,0.43243243243243246,0.6847826086956522,0.14992272024729522,0.3219794344473008,0.1847582452769773,0.7012809699771206,0.4534220532319393,0.2744315915436776,0.07878697149211922,0.7184993531694696,0.07509196006305835,0.931702814951546
0.7645666532037728,0.01679524255497049,0.005727068276829294,0.5910543130990414,0.33333333333333337,0.46859903381642515,0.7112299465240643,0.7471819645732689,0.6031307550644567,0.39738821390197543,0.4555984555984556,0.04891304347826086,0.1545595054095827,0.8946015424164524,0.7829010566762729,0.28250304049803593,0.9458174904942968,0.5807738332668525,0.6626531790671315,0.8915912031047865,0.8841828691539676,0.6718966312874942
0.3494519315293056,0.7811861681203122,0.3612863091401219,0.6261980830670926,0.33333333333333337,0.1932367149758454,0.08556149732620322,0.6618357487922706,0.7136279926335175,0.28456897264236714,0.5250965250965252,0.8355978260869565,0.21329211746522414,0.756426735218509,0.34902337495997443,0.9906385278863764,0.41563688212927763,0.0861587554846428,0.9137706110053679,0.5430789133247088,0.9815028901734105,0.5655283802491925
